RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
6,9;10,3;0,0;EUR006M_Index.lag_12;SpreadOAT10Y6M.pct.lag_12;-16637,53;4,32;Level;Growth_rate;1;1,0;-0,16;1;0,9;0;39;0,83;-2269,175501957002
6,6;5,2;0,0;PIB_Reel.t;INSEE_ProductionIndustrielle_France.t;359,75;-63,14;Level;Level;1;1,0;0,87;1;0,57;0;5;0,84;-2279,520539960121
7,0;11,1;0,0;INSEE_ConfianceMenagesFR.lag_3;CPI_Excl_Tabac.t;403,84;1632,2;Level;Level;1;1,0;0,73;0;0,18;0;93;0,82;-2285,290804089717
5,4;4,9;0,0;EUROSTAT_GDPEuroArea.t;EURONEXT_CAC40.pct.t;0,06;-46,01;Level;Growth_rate;1;1,0;-0,05;1;0,95;1;10;0,9;-2297,2600821222104
6,8;10,5;0,0;EUR006M_Index.lag_3;INSEE_PIBFR.pct.t;-13018,99;1591,67;Level;Growth_rate;1;1,0;-0,65;1;0,19;0;39;0,82;-2298,3106901507454
6,0;6,7;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;SpreadOat10Y3M.pct.lag_12;0,7;3,4;Level;Growth_rate;1;1,0;0,2;0;0,25;0;24;0,87;-2301,162443964167
6,4;5,5;0,0;PIB_Reel.lag_1;SP_SP500.Diff.lag_3;363,17;-5,04;Level;Difference;1;1,0;0,23;1;0,2;0;67;0,85;-2316,769825138648
5,9;4,3;0,0;RDB_Nominal.lag_1;INSEE_ConsommationFinaleMenagesFR.Diff.lag_1;458,56;0,19;Level;Difference;1;1,0;0,07;0;0,8;0;7;0,87;-2320,1335187694654
5,9;4,9;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;Spread5Y6M.Diff.lag_12;0,71;2563,73;Level;Difference;1;1,0;0,04;0;0,98;0;33;0,88;-2332,098456736509
7,4;5,1;0,0;SP_SP500.t;EUR006M_Index.pct.t;13,92;0,16;Level;Growth_rate;1;1,0;0,06;0;0,62;0;4;0,8;-2333,559057430007
5,8;4,4;0,0;INSEE_PIBFR.lag_1;Spread6M3M.pct.lag_3;0,37;12,17;Level;Growth_rate;1;1,0;-0,04;1;0,97;0;3;0,87;-2336,5714653114533
5,6;5,2;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;INSEE_ProductionIndustrielle_France.lag_1;1,31;-145,26;Level;Level;1;1,0;0,86;1;0,9;1;0;0,88;-2344,1134427814777
5,9;6,4;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;Spread10Y6M.pct.lag_3;0,69;4,22;Level;Growth_rate;1;1,0;0,4;0;0,42;0;27;0,87;-2347,695670108169
5,8;4,9;0,0;RDB_Nominal.lag_3;RDB_Nominal.Diff.lag_3;476,69;108,99;Level;Difference;1;1,0;0,63;0;0,91;0;4;0,88;-2405,2283872850453
5,5;6,9;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;EUR006M_Index.t;0,77;-932,83;Level;Level;1;1,0;-0,91;0;0,31;1;2;0,89;-2426,1229909423178
5,3;4,6;0,0;EUROSTAT_GDPEuroArea.lag_1;Spread10Y3M.Diff.lag_3;0,06;-2216,95;Level;Difference;1;1,0;0,23;0;0,88;1;5;0,89;-2426,8741165699157
